date	review	rating	title	userName
2022-03-21 20:32:34	An interesting, surprising and soothing listen on a subject I know (knew) embarrassingly little about! 11 episodes in, and looking forward to the rest. Thank you India and team 👍	5	A brilliant new podcast	HRBrockley
2022-09-01 21:24:41	I truly loved listening to this series. The combination of hearing both experts and people like me was wonderful. Very informative and empowering! Thank you so much for making this podcast!	5	Informative and empowering	Perfectlypodcasty
2023-07-10 07:41:53	Menstruation is something that in different ways effects everyone, it's also something people don't talk about. India Rakusen leads us though the 28ish days in ways that are surprising, shocking and magical.	5	A needed listen to everyone	Lillskank
2022-12-14 20:18:15	Delar denna till alla livmodersbärare jag känner! Så bra, lärorikt, inspirerande, fascinerande, supervälgjort och spännande. Blir glad av att förstå mer och mer om min kropp.	5	Så bra - dela vidare och bilda människor	Hohugduhnåofdk
2022-05-03 20:15:42	Really informative, easy to understand - each episode had something new to me that informed how I understand menstruation. I’m recommending it to everyone, all genders, all ages!	5	Essential listening for all!	SwissMissy
2023-02-16 18:50:18	I’ve really been enjoying this podcast, and have learned so much. I appreciate how the episodes are brief but still give you great info. I’m much more empowered about my body!	5	Very informative!	ljkort
2022-11-19 12:45:13	This is a very well made podcast full of useful eye opening information. Highly recommend it for everyone, women, men, girls and boys.	5	Very informative podcast	Ketumile
2022-07-19 23:09:03	Every woman, girl and menstruating person should listen to this. Wonderfully informative and beautifully presented. I learned so much from this podcast!	5	Beyond excellent	therealkikistrike
2022-09-11 01:14:33	This is a fascinating podcast.  The music, though, is VERY intrusive. And hearing it over and over for 28 episodes…!	4	The music!	Nitram99
2022-03-23 14:50:06	As a FAM educator, these are topics I cover with my clients and I’m always amazed at how little we know about our bodies. This is an incredibly well produced series on the cycle!	5	Demystifying our own bodies is so critical!	Jamie M Murphy
