comment,replies,date,user_name
Elizabeth Holmes voice 🤦‍♂️ Also Jim Cramer is a wall st. BS artist.,[],2023-07-11T15:57:43Z,@BennysBenz
I swear Elizabeth Holmes gives me such cult leader vibes.,[],2023-07-11T08:01:41Z,@dougduck8111
I haven't been called a girl since I was 17. The phrase threw me off as a woman...there's no way I'm calling myself a girl boss and I'm turning 40 this year,[],2023-07-08T20:37:40Z,@jasminejackson338
"When I hear the term ""girl boss"" I think:

* usually sexist
* usually hypocritical 
* usually narcissistic 
* always smug",[],2023-07-07T01:53:38Z,@doriangreen3231
"LOL!!! Gaslight
Gatekeep
Girlboss",[],2023-07-02T12:41:46Z,@kainlockley
"24:54 - ""All of the girl bosses are white women.""
Three of the featured girl bosses in this video are Sheryl SANDBERG, Leandra Medine COHEN, and Danielle BERNSTIEN.
Those names sound pretty Jewish to me. And Leandra is Turkish and Iranian, as well as Jewish. 
Wanna try again, this time without the ""fuck whites"" false narrative? Also, nothing is stopping any other races from starting companies and calling themselves girl bosses. What a stupid take, trying to shoehorn a racism narrative into the mix.",[],2023-06-30T04:44:05Z,@JakeKoenig
nastygal went bankrupt because the quality went down heaps too,[],2023-06-22T07:35:00Z,@minnatodd9023
"I think the movement was started with good intentions, especially to counteract 1950’s a woman’s place is in the kitchen rhetoric. But women are people, and all people, once put in positions of power with access to wealth, can exploit that power under the guise of commodifying feminism",[],2023-06-15T17:12:03Z,@annabelleb3510
"Real ‘girl bosses’ or ‘any bosses’ are people who work hard, look after those who work hard for you and with, make sure things are running well throughout their company and looking after their customers and not ripping off anyone or being toxic. They also are not all talk, and do what they say they will instead of empty promises and fake ‘hustle’ or ‘girl power’ bs. No shady deals, no copying, doing things right and actually supporting and uplifting others.",[],2023-06-11T18:08:18Z,@CLBrierley
"It's not a sure thing, but seeing someones name on the '30 under 30' list sure makes me raise an eyebrow about whether they're a scam artist or not.",[],2023-06-08T21:01:13Z,@michaelbeaster2921
"gaslight gatekeep girlboos
gasboss
gatelight
girlkeep",[],2023-05-30T21:48:03Z,@hypatiakovalevskayasklodow9195
"Bro these woman literally contradict every thing they stand for it’s hilarious truly

Gaslight 
Gatekeep
Girl boss",[],2023-05-30T16:20:03Z,@Mrstark1407
"I heard there was a company who got a woman CEO and every worker there was happy. They thought they'll get less overwork. 
She fired everyone and outsourced all the jobs to India, the sex ratio in US was 35% women, which fell to less than 5% after outsourcing. 

The woman fkd over most women in the company despite they thought they would benefit from it.",[],2023-05-28T14:02:46Z,@takeshikovach5165
"i cringe when i hear ""girl boss""",[],2023-05-26T07:48:46Z,@laura9987
There were no positive examples of girl bosses?,[],2023-05-22T14:35:31Z,@sendmyonmywaay
The moral of the story is women are just as horrible as everybody else.,[],2023-05-19T13:24:30Z,@debbiedebdeb4183
GDAY..WHAT A CROCK VID..JUST showing Hebrew ..deceivers..and the means they use to create this “ GIRL BOSS “ fiasco…to milk money from the unthinking gentiles…how sad…,[],2023-05-14T23:29:04Z,@davidhill500
"Even for men, pounding your chest over your achievements is bad",[],2023-05-13T03:05:14Z,@blindfire951
"in your comments regarding millennials and buying ethically.  I have noted in my activities that millennials do not seem to understand what ethically is.  They know the word and the feelings of self appreciation that comes with saying ""I am being ethical"", yet they fail to understand the why of ethics, what makes ethical.

I have engaged with multiple individuals in that age range that believe that they have the right to claim ownership on objects they copied.  One case was a scan of a physical copy of an old magazine they were reselling as a digital version.  The individual did not understand how it was unethical to profit on direct to sale of the product because they went though the effort to scan it.  the magazine in question was defunct so it was not illegal, only unethical.  There is a level of entitlement and denial there prevents them from seeing the mechanics that make ethics what they are as a generality.

You can blame this on advertising and the overused and abuse of the term to the point that ethics do not have any meaning to them, as they do not actually see ethical behaviour.  you can also blame that they have not been properly mentored.  You can blame it on hustle culture that teaches people get what you can and let the buyer beware.  In the end for whatever reason they do not understand actual ethics and unless it is branded as  ""ethical"" they can not determine it for themselves.  And when confronted on it they do not want to believe that they are capable of unethical behaviour.

There is a big issue with self image that prevents them from accepting ethics that borders on psychopathy.",[],2023-05-11T21:24:50Z,@hugsandcurses
'Girl Boss' is a woman who has the personality traits people hate in men.,[],2023-05-11T13:56:51Z,@kendo2377
"13:00
I legit thought she was joking with her deep ass, cartoon bro sounding voice lol
Wtf is thaaaaat???😂",[],2023-05-11T00:02:43Z,@EvoDad87
Sooo whats a mlm?,[],2023-05-10T23:26:46Z,@juliafloreshernandez6854
I never bought anything from the any of them. It sounds like a whole bunch of b******not being very nice.,[],2023-05-10T01:37:32Z,@lauriedaniele5967
2:05-2:15 I’m screaming lmaoooo,[],2023-05-09T19:40:32Z,@GoodGlowStudio
"I’m a lawyer and have plenty of people, men and women working for me.  I’ve never been a “girl boss.”  I guess I thought I was too grown up for that.",[],2023-05-07T15:07:42Z,@susanh1447
"Why is it only white women that are time and again seen to engage in this kind of toxicity and then have minimal repercussions? 

Anyone that needs proof of a systemic bias, need look no further than the overwhelming number of white women in self help, motivational speaking, lifestyle improvement culture.",[],2023-05-07T14:24:15Z,@sca8217
BEWBS,[],2023-05-06T20:57:06Z,@inchaoswetrust
"I dont wish bad on anyone, especially those that do manage to break through and snatch a little spotlight, but hearing you talk about EQUALITY, and mean that we should be the SAME, is truly refreshing. Its hard to look at any media and not believe the entire world has lost its head; everyone needs to take a breath, step back, and realize we're all stuck on this screaming ball together.",[],2023-05-05T03:50:39Z,@zramirez5471
10:00 I have yet to ever see her be the only woman in a room,[],2023-05-04T19:54:53Z,@budwhite9591
I never liked the girl boss thing...gave off the same vibes as the whole 'girl power' thing i saw alot of growing up which i also disliked.,[],2023-05-04T17:19:07Z,@cemiller
"Boss bitch , Girl boss , boss babe .. lol",[],2023-05-01T04:32:21Z,@clumsytraveller8520
"In reguard to the “weekend rally” why on earth would anyone with a functioning brain PAY FOR career advice from someone who drove their OWN company into Bankruptcy??😂

And the ARROGANCE to think that afterwards you are STILL suitable to GIVE such advice, and that it’s worth PAYING for!🤔🤨",[],2023-05-01T00:27:57Z,@BlackFlightNY
"I will personally carry the matle of ""boss bro."" Now to start a company with some friends",[],2023-04-30T02:58:37Z,@tiredmrp
"gaslight, gatekeep, girlboss! 😉",[],2023-04-29T22:17:45Z,@itsyissel
"Gaslight, gatekeep, girlboss. 

Great video!",[],2023-04-28T02:42:22Z,@Terr-Bow
#bossbro,[],2023-04-25T12:49:04Z,@gpaintedsenyo3184
Even girl boss trope in media is becoming tiresome and awful,[],2023-04-22T05:13:05Z,@nadie4221
"It’s like Maggie Thatcher said: “being powerful is like being a lady: if you have to say you are, you aren’t.”",[],2023-04-19T22:03:04Z,@Therationalnationalist
"Gaslight, gatekeep, girl boss😎",[],2023-04-19T14:15:35Z,@tiagonthego
"Girls - I'm a 57 year old 80's girl. This is just the same old life-sucking garbage they were pushing down our throats when I was in college '84-88. My marriage was almost destroyed by this toxic outlet, as I viewed my husband as a competitor. I helped him start his company in exchange for him putting me through law school. In other words we nearly worked ourselves to death. My goal was to make more than him. Then came the typical fertility problems associated w/ endless work. By the Grace of God, I found out I was pregnant at my first 'hardcore' fertility consultation (infertility doc vs generic ob/gyne). My whole perspective changed the moment I heard the words, ""You're pregnant!"" I can barely write thinking about the joy that overcame me. THAT, was when I learned what life was really about. He's 29 now and has two sisters. Family and love thereof, and the love of God. 
That's what life is all about Charlie Brown.",[],2023-04-19T13:03:47Z,@Zknwlf
#guyboss,[],2023-04-18T23:02:02Z,@Greenterror
"lmao rise up, totally forgot about that",[],2023-04-18T19:14:18Z,@schoolinJOO
"Don't work for women, they are generally a nightmare, and generally unfair. Not all of them but enough.",[],2023-04-18T12:30:25Z,@pigknickers2975
The Facebook interview? They sound like they’re on speed…..or Aderall,[],2023-04-16T00:01:34Z,@tiffanyroseangeles34
Gaslight. Gatekeep. Girlboss.,[],2023-04-14T22:43:58Z,@augustanna8386
Girl boss is actually Swahili for cnt! True fact,[],2023-04-14T14:25:52Z,@kenrehill8775
Wow it's like you said... it's as if they are humans,[],2023-04-13T18:33:20Z,@jocapi87
"Girls get jealous and try to destroy each others reputation.
So basically they can be CU*TS",[],2023-04-13T00:13:34Z,@raykarena4595
I don’t consider clothes/blogging/makeup a real value add to society. Basically all luxuries that do not push humanity forward in any way,[],2023-04-12T19:43:28Z,@rollerboogie
I don’t believe Elizabeth Holmes was the only woman in EE or ChemE at Stanford. That’s such bullshit,[],2023-04-12T19:37:11Z,@rollerboogie
"I tried explaining that women can be as bad and exploitative as men… it was not well received…

The reality is specific personality traits drive people to get into leadership positions. And they come with their own downsides. Regardless of your gender.",[],2023-04-11T14:50:44Z,@xlr84XC
I notice to many of them are getting into clothes and fashion,[],2023-04-11T11:06:58Z,@makegeorgeorwellfictionaga9268
"all the girl bosses were fashion bosses. the one STEM boss (Theranos) was a complete fraud. there is a lesson in there. 
girl bosses were glorified Mary Kay saleswomen. nothing new here.",[],2023-04-11T09:51:04Z,@bryana297
"If you add values in others life,you are already strong..there is satisfaction and fulfillment.. people want to feel good,if you can do it,you are already stronger since they are your well-wishers and their hand is your hidden hand..",[],2023-04-11T07:11:08Z,@megatron6382
Well for sure. Clever marketing. Got to give him that. They were going to be the customers anyway.  Manpower is busy carrying the boxes for girl power books 📚. I don't think you could even sell beer with the word manpower. Unless the slogan was on a girls t-shirt. Go girl by this. The ads from the sixties on. If I remember correctly that's how they got girls to smoke 🤔. The ad campaign showed how empowered they were. But that was a dude 😎🚬,[],2023-04-10T21:49:46Z,@brantcunningham4333
So black people can only make black people clothes demanding white people not wear it.  So why can’t white people?  Listen as a black man you white liberals are the real problem.  You let us walk all over you cause you’re weak.,['LOL! Amen.'],2023-04-10T21:08:54Z,@ivermectin1974
"I always thought a business tries to balance growth while still trying to perfect whats making them popular. 

I have noticed that as soon as they start making money they grow ridiculously, forget making a profit or breaking just grow and they act surprised when it crashes.",[],2023-04-10T21:07:53Z,@Chilling_Charizard
