2019-07-26 02:49:42,"I am a cis gender male, who manages a gender diverse team, and this podcast is among my favorites - not just as a manager but as a human in the workforce.

The depth of every episode is in line with the best podcasts ever produced, and well beyond the scope of a standard business podcast. 

One of my favorite aspects is the thoughtful processing after each interview, where the hosts digest the interview and highlight personal takeaways.

This podcast is well worth your time.",5,Aphixxihpa,Amazing
2019-07-18 14:33:54,Love the content. Keep it up!,5,jehmaloof12,Loving this!
2019-06-22 04:45:17,Love the topics and how applicable they are. Great advice and interesting to listen to.,5,fujiapplepi,Great Advice on Relevant Topics
2019-07-09 18:24:15,"They conveniently disregard the fact men are more likely to be unemployed, lack a college education, be homeless, die younger, lack health insurance, lose custody of their kids, suffer from addiction, etc.",1,dylanator247,Feminist grievance culture
2019-05-21 23:33:22,Deloitte Digital sponsors this exceptional podcast and too often we forget to thank them so want them to know that their message is getting through and associating their company with such a quality series ( ashamed to say I only discovered it recently but have gone back to listen to the previous seasons) will help them gain new clients and engender good faith from their existing clients. Thank you Amy B Amy G and Nicole for bringing your A game always. The guests are great but I really enjoy when the three of you discuss the topic after the guest.,5,Emmalaz,Thank you Deloitte Digital
2019-06-04 17:27:39,"I found this podcast when I was looking around for career-oriented shows. I’d subscribed to a few other related podcasts before, but they’re all hit and miss. It’s not to say they’re terrible or useless or anything so drastic, but I can honestly say that sometimes, I skip an episode. 

That’s not the case with Women at Work. I enjoy this show so much! The topics are engaging and thoughtful, and the hosts do a wonderful job of really digging in to the nuances of what it’s actually like to be a woman in the workplace. 

Thank you for your research and efforts. I am truly a fan, and I would recommend Women at Work to any woman, whether she’s working in an office, at home, or is a stay-at-home mom. It’s nice to feel like someone else has your back, and sometimes, a mentoring career woman with more experience than you is really helpful. I’d also recommend this podcast to men, because let’s be real: men could use a LOT more insight into the issues women have to deal with in the workplace. A little empathy wouldn’t hurt either! 

Long story short, Women at Work is exactly what I hoped it would be, and I am very glad to have found the show. Thanks again.",4,Whyyyyyyyyyy123,This is exactly what I hoped it would be
2019-05-15 11:23:43,"Thank you for having the two ladies on the show to talk about Sisterhood is scarce. They brought up issues I have been feeling as a woman in technology, and it felt nice to be heard for once.",5,TheRealC,Sisterhood
2019-05-13 12:44:24,Thank you!,5,commuter fan,Make more episodes!!  We need them!
2019-04-17 14:29:12,I just found this podcast and am so happy to have done so. There are many topics and great speakers that I can really relate to and   I made several realizations about my own behaviors in just the first episode! Can’t wait to listen to them all!,5,angelface1007,So insightful and useful for men and women and all levels of experience
2019-04-02 03:18:28,"The topics covered are timely and relevant to professional working women, and the range of views and perspectives makes for interesting discussion.  I’ve listened to several and my favorite is the one that addressed the thankless, administrative or event planning projects that women often get stuck with.  I talked about it with several of my female colleagues.  I definitely recommend this podcast and look forward to the future episodes!",5,Culpeper2,Thoughtful discussions relevant to working women
