review_id,rating,title,content,date,developer_response,user_name
4919717817,5,Must listen,Excellent and intriguing,2019-10-10 12:35:13-07:00,,the woodsman1989
4908974177,5,Great information well done,This podcast has great insight into the topics it reports on. Highly recommended it.,2019-10-08 05:37:47-07:00,,High output 101
4878542008,5,Thank god,"Thank god for real journalists and broadcasters like everyone involved in this project!
I will happily notify everyone I know to listen. 
Thanks for providing excellent content excellently presented!",2019-10-03 08:43:11-07:00,,WenDermo
4874473204,5,Love!,Loved the first episode! Can’t wait to keep listening,2019-10-02 11:21:34-07:00,,rldale
4869192860,5,Unbelievable,"Great so far, can't wait for more episodes! Such a sick man",2019-10-01 06:12:50-07:00,,mugs86
5224933511,2,Ep 8 was very painful,Ep 8.. the interviewee was extremely painful to listen to..,2019-12-02 05:52:21-07:00,,dave37472847
4874583463,5,Wow!,Scary stuff....,2019-10-02 11:57:51-07:00,,@kity
8954085322,1,Subscription Only!,"It was really disappointing to get engrossed in the first few episodes, only to find that the remainder of the series required me to sign up to a subscription. This felt cynical and manipulative and makes me wary of embarking on other podcasts from the same company. Most podcasters (including Wondery) offer people the choice of free content being if they are willing to put up with adverts or, alternatively, an ad free subscription. This feels like an own goal.",2022-08-07 05:08:56-07:00,,P. S. Doff
7929008073,2,Great but shame Wondrey now asking for payment,As above,2021-10-18 13:02:09-07:00,,Not appy.
7802090993,1,Play 2 then must sign up,Like the previous person I don’t like that and I simply will not listen to any in future .,2021-09-13 07:15:41-07:00,,NHWG
7687633963,2,Wondery Plus Scam?,"Only giving 2/6 episodes for free to make people sign up to Wondery+? 
Not impressed. Was a massive fan of wondery podcasts but if this will be a normal thing I will not continue to listen!",2021-08-13 03:19:26-07:00,,Heeb16
7578647997,1,Substance,The podcast is average 30 mins long and has 4-5 ads and almost zero substance.,2021-07-15 02:13:41-07:00,,Mfw89
6437896652,5,Shocking and informative.,"I enjoy wondery podcasts as you can learn the full scope of a story so easily and it’s entertaining as well. This podcast series was excellent as it’s about someone who we heard about so frequently in the news and an ongoing investigation. 

Wondery podcasts are perfect for me as I’m a student who has to commute to uni everyday and I can listen to an entertaining story at the same time.",2020-09-17 03:45:31-07:00,,miriam181
6231072992,5,Really good podcast,Although not the most detailed on the Epstein story the podcast delivery gives it a more gripping feel to other podcasts which keeps you thoroughly engaged. Really enjoyed this an would definitely recommend. Keep more coming please.,2020-07-22 23:27:02-07:00,,Woodypop84
6157776359,5,So informative,Before listening to this pod cast I didn’t really know much about the Epstein case and I felt really ignorant to the facts of what happened once I listened. Really informative and I really enjoyed that background checks and research that went into this! Made me want to take note of what is really going on into how the other half really live. The adverts put a dampener on it however most podcasts do use adverts so it doesn’t really take away the tone of the story,2020-07-04 13:48:41-07:00,,aries fire ball
5904147702,5,Excellent,Close but no cigar but if everything you could’ve found you did actually put down well it’s just the tip of the iceberg isn’t it?,2020-05-04 19:31:45-07:00,,davebrass
5893171230,5,Brilliant. Utterly engaging.,Beautifully presented. Extremely professional and well researched. Wholly recommend this podcast.,2020-05-02 06:27:37-07:00,,David Rhys
5849704177,5,"Great content, easy to digest",Content is great and well delivered by the narrator. Number of episodes and length of each are about right too. Highly recommend,2020-04-22 13:46:20-07:00,,tcbretherton
5638666600,5,"Thought Provoking,","Like many others I probably thought I knew the Epstein story and that memorable morning when I woke up to find he had “committed suicide” I did think, yeah right. This excellent work makes you consider how rotten the people who swore to protect society were? are? We can but hope the truth will out. Depressingly this tells the tale of a man who thumbed his nose at the Law and got away with it too often, for too long. Lady Justice must have wanted to fall on her own sword. Plaudits to the victims who spoke up, the journalists and law enforcement who at personal risk championed them and stood up and the producers/presenters of podcasts like this who keep the injustice forefront In our minds and aim dig beyond redaction and spin. Excellent podcast! Can’t recommend enough!",2020-03-09 15:00:03-07:00,,PWJORDANAUTHOR
5545267009,5,Far more depth to this story than I knew,This is an extremely depressing but brilliant listen. It’s so good to hear about the diligence of those who brought the truth about this man and his blatant criminal behaviour to light.  Hiding in plain sight among some of the worlds most powerful people.,2020-02-17 14:28:42-07:00,,Esther Hester
5361539423,4,Interesting,"I didn’t really know much about this case, so found it very interesting to listen to an in-depth review. However there are quite a few adverts (which I know can’t be helped) that were the same and it would’ve been nice to have more variety.",2020-01-04 14:07:56-07:00,,eve13batten
5222755268,1,Longtime listener,"Not sure why this needed to exist- weird format departure from American scandal, which this series should surely just been a part of. It also suffers from more going back and forth then is usual in the AS series, and could probably have benefitted from a more chronological focus.",2019-12-01 15:24:05-07:00,,BluePoPo
5221431618,3,Too many ads,Good podcast ruined by the obscene number of adverts,2019-12-01 07:47:44-07:00,,Shure fan
5203845078,3,Good content but ads are overwhelming!,Difficult to follow in amongst the ads and promos for other podcasts!!,2019-11-27 06:42:37-07:00,,roffy1983
5200607850,5,Interesting,"Very interesting and detailed, would recommend .",2019-11-26 11:57:14-07:00,,m mon
5187967724,1,Is this just one long advert?!,This would be a great podcast series if it wasn’t 50% adverts and teasers for the next episode or other shows....,2019-11-23 11:19:48-07:00,,lumalist
5171517983,5,How has this happened....,Well written and well presented! a disgusting story of wealth and what it seems to let you do! I hope this leads to arrests and prison time as they deserve it! And I hope the young women get their lives back from these pigs ❤️,2019-11-19 23:56:37-07:00,,Harrycarrie100
5169687993,2,Frustrating listening.,"Hard for me to rate the actual content of the podcast. I’ve listened to 4 episodes and barely heard one episode’s worth, the volume of adverts is too much. Coupled with ‘still to come’ skits and chatter about other podcasts, this makes listening a chore, before you’ve even thought about the bleak subject matter.",2019-11-19 12:06:35-07:00,,malzinn87
5162148099,5,Prince Andrew!,You need to update this podcast post the BBC’s interview with Andrew.,2019-11-17 18:22:00-07:00,,Ennazus13
5152158150,5,Unbelievable,"Genuinely staggering how wealth and power enables someone to do what the hell they like. Hopefully with reporting and careful assembling of the facts like this, awareness will increase and prosecutions will follow.",2019-11-16 10:34:24-07:00,,mattym1001
5129140570,3,Too many Ads,Really interesting but the advertising ruins the listening experience..,2019-11-12 13:32:42-07:00,,James.Lievesley
5074036642,1,Really long ads,Far too much of this is advertising.,2019-11-02 14:52:51-07:00,,jswwwqw
5005895045,5,Very good,A must listen. The only thing I would say that could be improved is that at some points the adverts slip in and confuse the story. At a few points I didn’t realise that it was an advert.,2019-10-24 03:25:44-07:00,,nvjyfuyfykuhkuh
