timestamp,content,rating,user_name,title
2019-12-23 16:30:23,"Spends too much time talking to Alan Dershowitz and Lisa Bloom, legal figures who’ve over the years worked on Harvey Weinstein’s defense, and yes, Jeffrey Epstein’s. They’re not so much lawyers as they are PR reps, and this podcast is just another piece of establishment spin.",1,gumby's_dick,Not critical enough of official narrative
2019-12-21 02:07:10,"There’s stuff here you might not have heard before, including lots of original interviews that make it worth listening to. There’s a few other podcasts about Epstein out there at the moment; this one does the best job clarifying how evil, dark and twisted Epstein and his operation — as well as the world of rich people and academics who enabled/ are enabling the abuse — truly is.",5,Jack_McCoy,Original Material
2019-12-20 15:36:40,I loved this till you slammed Barr and Trump. You  obviously don’t know Barr,1,whajubee,Barr and Trump
2019-12-15 13:18:06,The same clips are being repeated in multiple episodes that makes you question if you’ve listened to the episode previously.,3,Vodkaandvinyl,So much repeating
2019-12-16 21:45:04,Why does your podcast sound like it’s on fast forward? Episode 12 you’re literally speaking a million miles per hour. Makes it hard to listen to,1,emarcee123654,Chapt 12
2019-12-08 22:33:55,Found many of the sound bites used repeatedly.,3,fzrgrl,Repetitive
2019-12-15 12:52:40,Was going to listen to it until I read the first sentence. Good job 👍,1,Thisnameisnttaken1234,What Happened to Journalism?
2019-12-12 19:23:41,Very informative well done podcast!!,5,Coli2k,Love it
2019-12-12 14:44:31,"I became obsessed with listening to every Epstein podcast and I would not recommend this one. They producers did not deal with the victims with as much care or sensitivity. Other reviews point out the use Lisa Bloom who worked with Weinstein and betrayed her own clients. I would recommend Mysterious Mr Epstein, Real Crime Profile, and Broken Mr.Epstein. They do not sensationalize the story and give more care to victims.",2,customeraaa,Not comparable to the other podcasts on Epstein
2019-12-05 19:22:49,"You have Dershowitz - accused of raping underage girls with Epstein, and Lisa Bloom?!?  She defended Weinstein and smeared his victims.  Not exactly someone who champions women’s rights.  Really disgusted when I heard them being given even a second of airtime.",2,BarbarainPA,Really??
2019-12-02 23:51:12,"The story is excellent. The narration is great.  But the chauffeur should not have been giving an opinion. He criticized the  pilots but was guilt of what he criticized them for, he should have known what was going on. And you used him as an expert base on his opinion and that hurts the story because he was flip flopping. Still a 4 out of 5 stars.",4,MoNastE,The chauffeur is not credible
2019-12-05 03:32:25,"Interviewing Alan Dershowitz, who has been implicated in the same crimes as Epstein, and named by Virginia as one of the men she spent time with, is an extremely odd choice. Acting like he is an expert on the case, while never mentioning his connections to these crimes, erases all credibility by the reporters.",2,bp0206,Sources
2019-12-05 01:36:01,"Few to no conclusions and the end was just “buy this book to hear the whole story.” Kind of a waste of time in the end, nothing that I didn’t already learn from a handful of articles that came out when he died.",2,I Dont Have a Nickname11,It’s a twelve episode ad to buy their book
2019-12-05 00:34:22,All of the phone call audio excerpts are incredibly distracting due to the poor audio quality. Very disappointing.,1,InTheCarOn70,Audio disappointing!
2019-12-03 01:35:27,So many facets of the Epstein case are brought to life in this podcast. You’ll hear from many who were victims or witnesses to Epstein’s long crimes. Did he truly commit suicide or was he murdered? Listen and find out!,5,BellBottom96,Fascinating!!
2019-12-02 23:58:21,...was a crummy commercial for a book. Bleh.,1,Bigbearmdb,So this whole thing...
2019-12-02 14:23:08,"I really enjoyed your coverage of this weird man who manipulated so many.
The women/girls should be compensated after all the FBI’s release of documents found. Although I’m not sure it will happen.
  My wonder is the last episode (#12) had me puzzled why Trump was thrown under the bus when Clinton flew on “The Lolitta Express” like a kid at an amusement park and, you made no mention of him at all. 
Many other people had longer relationships with him than President Trump!
  That seems like a bit of an agenda.
Just report what you know and, we’ll think for ourselves.
Other than that, great job!",4,jimmyluvsmusic,"Very Intriguing but,,,"
2019-11-21 23:43:16,"Good story.  However, at episode 10 they announced, “stay tuned for the final episode...”, and I think it’s been said for the past few episodes.  So... when is the final episode?",4,Bschora,How many episodes?
2019-12-01 12:51:07,This will be a 12 episode series. The story has legs. Congratulations!,5,agreatgardener,Terrific- OJ Simpson story all over again
2019-12-01 07:25:19,"The podcast is entertaining, but there are far, far too many inferences unsupported by reliable evidence that lead it down the road of conspiracy theory drivel. Fact witnesses are asked for their opinions about topics in which they have provided no expertise and no supporting evidence, so it can be very frustrating if you’re used to hard journalism. If you’re interested in this case, the Broken podcast stays in its lane far better. The value of this podcast is to supplement Broken with more witness interviews.",1,Shylock78,Too much conspiracy theory nonsense
2019-12-01 00:35:05,"I was with this podcast until the last episode when it takes a turn for the bizarre and the host reveals that the producer has a book coming out in early December. I don’t mind that the producer has a book to sell and has a clear (but very bizarre) theory of the case, but both of those things should have been made clear up front, not 11 episodes in.",1,Communist Harlot,"Disguised as an investigative work, but has clear agenda"
2019-11-30 18:45:45,"Like other listeners, I found the constant repeating of information tiring.",3,missm'liss,Repetitive
2019-11-29 20:19:40,"........but not delivered by this childish sounding narrator who seems to be reading from a script with no understanding of the story she’s telling. Nothing new here. And—Enough already! So redundant and each short new episode repeats half of the last. I don’t think there is any real reporting here, just a compilation of existing reports and interviews. The most appalling part of this podcast continues to be the narrator who constantly introduces herself. If I were her I’d hide and never reveal my name. She would make a great children’s book narrator though!",2,meowmack,The Story We All Want To Hear.....
2019-11-29 12:58:40,I’m so tired of this podcast trying to put the blame for Epstein on President Trump. If you want more answers focus on Bill Clinton and Prince Andrew.  Throughout this podcast Clinton has been given a pass with only a suggestion that Epstein should not have been invited to the wedding.  REALLY?  How about not being on the Lolita Express over 26 times!!!  For a good dive into Epstein the slime ball I would pass on this podcast.,3,librarylady87,Stop blaming Trump
2019-11-29 06:05:31,"I can believe this podcast features  Lisa Bloom, a Harvey Weinstein advisor. Weinstein paid her to discredit his victims.",2,jsdc10,Lisa Bloom is discretited
2019-11-28 18:53:39,"If you haven’t researched the story of The Franklin Coverup, please do. It’s likely that Jacob Wetterling was one of their abductees. The powerful elite have been systematically abusing boys and girls for generations. 

Research missing people in Haiti- Clinton Foundation. There are heinous crimes going unchallenged and unreported by mainstream media, which is owned by the very same powerful elite. 

Please get your most tenacious investigative team to dig deep and expose any and every aspect of this dangerous fraternity",5,NoneOfYourBusiness61,Power
2019-11-25 05:43:54,Very engaging and horrifying story but the inclusion of Alan Dershowitz and Lisa Bloom (two of the shadiest lawyers in America) was an unwelcome intrusion into an otherwise solid podcast.,1,Lauren Lynley,Hit & Miss
2019-11-22 13:32:42,Right away the summary has to mention President Trump while it was President Bill Clinton who visited often with this pedo and which he had a painted portrait of Bill in a woman’s dress. ABC News net refused to air this pedo 3 years ago and fired the person who exposed ABC. The media protects its own at the expense of the truth.,1,Hello05,Bull
2019-11-21 19:05:33,"The story is so intriguing and disgusting, but a lot of time was spent replaying the same audio over and over again. The chauffeur’s “I didn’t see it at the time but I see it now and can put it all together” was played for like 4 episodes in a row. You didn’t need that filler.",3,samanthajo0923,So repetitive
2019-11-20 21:44:01,This disgusting monster’s last name should not be the coupon code name for the ads in this podcast! This is appalling! I wouldn’t use his name for any type of gain. Please change this!!!!,1,Cadeevansisawesome,CHANGE THE COUPON CODE NAME FOR YOUR ADS!!!!
2019-10-19 13:42:14,"I just finished the 6th episode. I hope as this podcast progresses that more information about all of the people involved becomes more available. 
I want to know all the names; the media owners, more about Bill Gates, more about the Clintons, more about foreign activity from China, S America, Russia...
I want to know how big this really is. 
I hope this podcast gets much deeper.",4,Jhuval,I like it
2019-11-15 02:51:14,"An entertaining, informative and slickly produced podcast. I was enjoying it but the Lisa Bloom segment was surprising, not in a good way. I’ll pass.",1,Mrs.Robinson22,Commentary by Lisa Bloom?
2019-11-14 15:57:44,"Great podcast until Lisa Bloom is presented as if she’s a victim’s advocate. Read her emails between her and Weinstein. Her credibility is shot with me, just wish more people knew this. She’s flipping sides depending on where they money/fame comes from.",1,EpsteinDidntKillHimseld,Look Into Lisa Bloom
2019-11-13 14:46:12,Then we find out that same MSM has been running cover for the elite pedos. Just look at the latest Project Veritas vid. Pizzagate is real and so is QAnon. Notice they are treating QAnon the same exact way?,3,Nardwuar Sr.,Remember when the MSM laughed a Pizzagate
2019-11-08 21:12:38,"Honestly the timeline of how this story is laid out is so hard to follow. It feels like each episode contains relatively the same information and there’s not a clear progression between episodes. A great, and devastating story but I think this podcast kind of missed the mark. The Mysterious Mr. Epstein is a great one if anyone is hoping to hear more.",2,meadm,Great story but..
2019-10-28 01:45:20,This is the only podcast that includes real investigative journalism attempting to unravel the mystery of the epstien case. Devil in the darkness does an excellent job hilighting the bizzare details of the case while keeping everything substantiated and avoiding speculation. I would recommend this to anyone with an interest in the case.,5,S.R.Acomb,The courageous investigative journalism that the victims deserve
2019-10-27 22:04:53,"This so called investigative serial on Epstein is quite on the frothy side, more like the “People Magazine” version.  The sources/commentators are a little hard to stomach, especially Lisa Bloom who was Weinstein legal enabler / protector. I find her outrage for her victims at the hands of Epstein to be disingenuous to say the least . And the chauffeur? Talk about turning a blind eye. I think you would have to be deaf and blind not to know what was going on. The same with the housekeeper at the NM ranch. Money is everything and everyone has a price.",2,Ols&Suks,Easy listening
2019-10-26 06:34:12,Very political and so hard to believe so many of these people interviewed,1,isabelle08,Too political
2019-10-25 20:28:55,"I was really hoping to gain more information on this Epstein case. However, I heard more about Prince Andrew and hardly any information about Epstein. You replayed several parts and only mentioned Clinton’s involvement twice. Unsubscribe!!!",1,knl1005,Disappointed
2019-10-25 15:21:05,Thank you for your investigation into this scum et al. Keep up the fantastic work!,5,Samagra3,So Great!
2019-10-24 22:39:42,I feel like this has so much potential due to the nature of his crimes and obscene wealth. But you hear the same recycled audio in each episode from the same 3 people. Wish there was more information or the interviews were a little more detailed. Really did not like hearing from the driver how the pilots were bad people when he was in the same position to do something himself he even said it. Same with Deidre her job was to procure “massage therapists” I felt her input was not beneficial to the story at all. Maybe should have waited to put out a story  when there was more information.,2,Allyforz,Disappointing but interesting
2019-10-24 15:56:09,You’ve got Bloom on your podcast - Ronan Farrow  had something to say about her,1,socialvalley,Bloom
